题号,题干,A,B,C,D,E,答案,难度,题型,类别
33,33.函数chr(x)的作用是（）,返回数字 x作为Unicode编码对应的字符,返回字符 x对应的Unicode值,返回数字 x的十六进制字符串形式,"返回字符串 x中每个字符对应的 Unicode编
码值",,A,简单,单选题,Python基础
34,34.以下选项不属于 Python语言特点的是（）,优异的扩展性,网络编程语言,跨平台,开源理念,,B,简单,单选题,Python基础
35,"35.如果Python程序执行时产生了
""SyntaxError"" 的错误，其原因是（）",代码中的输出格式错误,代码里的变量名未定义,代码使用了错误的关键字,代码中出现了无法解释执行的符号,,D,简单,单选题,Python基础
36,36.以下选项不是 Python保留字的是（）,FALSE,from,try,For,,D,简单,单选题,Python基础
37,37.表达式int('100/3') 的执行结果是（）,'100/3',33.3,33,ValueError,,D,简单,单选题,Python基础
38,"38.以下语句的执行结果是（）  
tstr = '12345678'  
print(tstr[1: -1:2])",24,13570,246,2468,,C,简单,单选题,Python基础
39,"39.以下语句的执行结果是（）  
import random  
print(type(random.random()))",<class 'int'>,<class 'str'>,None,<class 'float'>,,D,简单,单选题,Python基础
40,"40.以下语句的执行结果是（）  
str1=""|| 北京大学 ||"" 
print(str1.strip('|').replace(' 北京','南京
'))",|南京大学 |,南京大学,||南京大学 |,||南京大学 ||,,B,简单,单选题,Python基础
41,"41.以下程序的输出结果是（）  
print(len(list('i love python')))",13,1,11,3,,A,简单,单选题,Python基础
42,"42.执行以下程序，输入 60,输出的结果是（）  
s = eval(input())  
k ='合格' if s >= 60 else ' 不合格' 
print(s ,k)",不合格,60,60合格,合格,,C,简单,单选题,Python基础
43,"43.以下代码的执行结果是（）  
x,y,z= 3,4,5  
print('x = {1},y={0},z={0}'.format(x,y,z))","x = 4,y =3,z=3","x = 3,y =4,z=5","x = 4, y =4,z=3","x= 4,y =5,z=3",,A,简单,单选题,Python基础
44,"44.变量str = '天使的翅膀带着我在尘世飞翔
'，执行下列选项，不能输出翅膀的是（）",print(str[3::2]),print(str[3: -8]),print(str[3:5]),print(str[ -10:-8]),,A,简单,单选题,Python基础
45,"45.下面语句的执行结果是（）  
tstr = 'BaiduTranslation is an online 
translation service'  
print(len(tstr.split('a')))",9,6,7,8,,C,简单,单选题,Python基础
46,46.表达式34%6的结果是（）,6,3,5,4,,D,简单,单选题,Python基础
47,47.以下选项，不是 Python保留字的选项是（）,TRUE,TRUE,pass,None,,B,简单,单选题,Python基础
48,"48.执行下列选项，输出了 'Hello World' 的选项
是（）",print(""HelloWorld""),print(' \"Hello World \"'),print("'Hello World'"),print('Hello World \ "),,C,简单,单选题,Python基础
49,49.关于Python语言的描述，错误的选项是（）,支持面向对象,支持面向过程,是一种机器语言,是一种解释类型的语言,,C,简单,单选题,Python基础
50,"50.执行以下程序，根据提示输入 3.2，回车
后，输出结果是（）  
flag = 0  
try:  
  b = int(input("" 请输入字符串总长度 :""))  
  print(type(b))  
except: 
 flag = 1  
 print(""请输入一个正整数 :"") 
print(flag)",请输入一个正整数 1,<class 'float'> 1,<class 'int'> 1,<class 'int'> 0,,A,简单,单选题,Python基础
51,"51.以下语句的执行结果是（）  
lss = 'ab'  
print(' {: ->4 }'.join(lss))",ab--,#NAME?,a {:->4} b,ab,,C,简单,单选题,Python基础
52,"52. 以下代码的输出结果是（）  
t=10.5 
def above_zero(t):  
 return t>0",TRUE,FALSE,10.5,没有输出,,D,简单,单选题,Python基础
53,"53.以下关于 Python语言的描述中 ,正确的是
（）","函数中return语句只能放在函数定义的最
后面",定义函数需要使用保留字 def,使用函数最主要的作用是复用代码,"Python 函数不可以定义在分支或循环语句
的内部",,B,简单,单选题,Python基础
54,"54.以下代码的输出结果是（）  
def young(age) ： 
 if 25<=age<=30:  
  print(""作为一个老师，你很年轻 "") 
  elif age <= 25:  
  print(""作为一个老师，你太年轻了 "") 
 elif age >= 60:  
  print(""作为一个老师，你可以退休了 "") 
 elif: 
  print(""作为一个老师，你很有爱心 "") 
young（42）","作为一个老师 ,你很年轻","作为一个老师 ,你太年轻了","作为一个老师 ,你可以退休了","作为一个老师 ,你很有爱心",,D,简单,单选题,Python基础
55,"55.以下关于函数返回值的描述中 ,正确的是（）","Python 函数的返回值使用很灵活 ,可以没有
返回值,可以有一个或多个返回值",函数定义中最多含有一个 return语句,"在函数定义中使用 return语句时,至少给一
个返回值","函数只能通过 print语句和return语句给
出运行结果",,A,简单,单选题,Python基础
56,"56.以下代码的输出结果是（）  
def Hello(famlyName,age):  
 if age>50:  
  print(""您好！""+famlyName+"" 奶奶"") 
 elif age>40:  
  print(""您好！""+famlyName+"" 阿姨"") 
 elif age>30:  
  print(""您好！""+famlyName+"" 姐姐"") 
 else:   print(""您好！""+""小""+famlyName)  
Hello(age=43,famlyName="" 赵"")",您好!赵奶奶,您好!赵阿姨,您好!赵姐姐,函数调用出错,,B,简单,单选题,Python基础
57,"57.以下关于函数优点的描述 中,正确的是（）",函数可以表示程序的复杂度,函数可以使程序更加模块化,函数可以减少代码多次使用,函数便于书写,,B,简单,单选题,Python基础
58,58.Python 中定义类的关键字是（）,def,class,function,defun,,B,简单,单选题,Python基础
59,"59.以下关于 Python函数的描述中 ,错误的是
（）",可以定义函数接受可变数量的参数,"定义函数时 ,某些参数可以赋予默认值",函数必须要有返回值,函数可以同时返回多个结果,,C,简单,单选题,Python基础
60,"60.以下关于 Python函数的描述中 ,错误的是
（）","Python 程序的main函数可以改变为其他名
称","如果Python程序包含一个函数 main(),这
个函数与其他函数地位相同",Python 程序可以不包含 main函数,"Python 程序需要包含一个主函数且只能包
含一个主函数",,D,简单,单选题,Python基础
61,"61. 以下代码的输出结果是（）  
for s in ""PythonNCRE"":  
 if s==""N"":  
  break 
 print(s,end="""")",PythonCRE,N,Python,PythonNCRE,,C,简单,单选题,Python基础
62,"62.以下代码的输出结果是（）  
try： 
 n = input(“ 请输入一个整数： ”) 
 def pow2(n):  
  return n**5  
 pow2(n) 
except: 
  print(“ 程序执行错误 ”)",32,2,程序没有任何输出,程序执行错误,,D,简单,单选题,Python基础
63,"63.以下关于 Python函数的描述中 ,错误的是
（）",函数代码是可以重复使用的,每次使用函数需要提供相同的参数作为输入,函数通过函数名进行调用,函数是一段具有特定功能的语句组,,B,简单,单选题,Python基础
64,"64.函数中定义了 3个参数,其中2个参数都指定
了默认值 ,调用函数时参数个数最少是（）",0,2,1,3,,C,简单,单选题,Python基础
65,"65.以下关于 Python函数的描述中 ,正确的是
（）","函数eval()可以用于数值表达式求值 ,例如
eval(""2*3+1"")","Python 中,def和return是函数必须使用的
保留字","Python 函数定义中没有对参数指定类型 ,这
说明参数在函数中可以当作任意类型使用",一个函数中只允许有一条 return语句,,A,简单,单选题,Python基础
66,"66.关于以下代码的描述中 ,正确的是（）  
def func(a,b):  
 c = a**2 + b   b = a 
 return c  
a = 10 
b = 2 
c = func(b,a) + a","执行该函数后 ,变量c的值为112",该函数名称为 fun,"执行该函数后 ,变量b的值为2","执行该函数后 ,量b的值为10",,C,简单,单选题,Python基础
67,"67.以下关于 Python全局变量和局部变量的描述
中,错误的是（）",局部变量在使用过后立即被释放,全局变量一般没有缩进,全局变量和局部变量的命名不能相同,"—个程序中的变量包含两类 :全局变量和局
部变量",,C,简单,单选题,Python基础
68,"68.以下的函数定义中 ,错误的是（）","def vfunc(s,a= 1,*b):","def vfunc(a= 3,b):","def vfunc(a,**b):","def vfunc(a,b=2):",,B,简单,单选题,Python基础
69,69.以下关于函数优点的描述中，错误的是（）,函数便于阅读,函数可以使程序更加模块化,函数可以减少代码重复,函数可以表现程序的复杂度,,D,简单,单选题,Python基础
70,70.Python 中定义函数的关键字是（）,def,define,function,defun,,A,简单,单选题,Python基础
71,"71.以下关于 Python语言return语句的描述
中，正确的是（）",return 只能返回一个值,函数必须有 return语句,函数可以没有 return语句,函数中最多只有一个 return语句,,C,简单,单选题,Python基础
72,"72.以下关于 Python全局变量和局部变量的描述
中，错误的是（）","局部变量在函数内部创建和使用，函数退出
后变量被释放",全局变量一般指定义在函数之外的变量,"使用global保留字声明后，变量可以作为
全局变量使用","当函数退出时，局部变量依然存在，下次函
数调用可以继续使用",,D,简单,单选题,Python基础
73,"73.以下代码的输出结果是（）  
CList=list(range(5))  
print(2 in CList)",0,FALSE,TRUE,-1,,C,简单,单选题,Python基础
1,"1.在Python语言中,不能作为变量名的是（）",student,_bpn,5dp,Teacher,,A,简单,单选题,Python基础
75,"75.以下代码的输出结果是（）  
def func(a,b):  
 a*=b 
 return a  
s = func(5,2)  
print(s)",25,20,10,5,,C,简单,单选题,Python基础
76,"76.以下代码的输出结果是（）  
t = 10.5  
def above_zero(t):  
 return t>0",10.5,FALSE,没有输出,TRUE,,C,简单,单选题,Python基础
77,"77.以下代码的输出结果是（）  
def young(age):  
  if 12<=age <= 17:  
  print(""作为一个大学生，你很年轻 "") 
 elif age <12:  
  print(""作为一个大学生，你太年轻了 "") 
 elif age <= 28:  
   print(""作为一个大学生，你要努力学习 "") 
 else: 
  print(""作为一个大学生，你很有毅力 "") 
young(18)",作为一个大学生，你很有毅力,作为一个大学生，你很年轻,作为一个大学生，你太年轻了,作为一个大学生，你要努力学习,,D,简单,单选题,Python基础
78,"78.以下关于函数返回值的描述中，正确的是
（）","Python 函数的返回值使用很灵活，可以没
有返回值，可以有一个或多个返回值",函数定义中最多含有一个 return语句,"在函数定义中使用 return语句时，至少给
一个返回值","函数只能通过 print语句和return语句给
出运行结果",,A,简单,单选题,Python基础
79,"79.字典d={ 'Python': 
123,'C':123,'C++':123 },len(d) 的结果是（）",3,6,9,12,,A,简单,单选题,Python基础
80,80.以下不是 Python组合数据类型的是（）,字符串类型,数组类型,元组类型,列表类型,,B,简单,单选题,Python基础
81,"81.对于序列 s，能够返回序列 s中第i到第j
以k为步长的子序列的表达是（）",s[i:j:k],s[i.j.k],s[i:j;k],s(i.j.k),,A,简单,单选题,Python基础
82,"82.对于序列 s，以下选项对 min(s)描述正确的
是（）",一定能够返回序列 s中的最小元素,"可以返回序列 s中的最小元素，但要求 s中
元素可比较","可以返回序列 s中的最小元素，如果存在多
个相同的最小元素，则返回一个元组类型","可以返回序列 s中的最小元素，如果存在多
个相同的最小元素，则返回一个列表类型",,B,简单,单选题,Python基础
83,"83.以下程序被调用后，不能够正确执行的是
（） 
def f(x,y=1,z=2):  
  pass","f(1,x=2,z=3)","f(x=1,2)","f(x=1,y=2,z=3)","f(1,y=2,z=3)",,B,简单,单选题,Python基础
84,"84.以下关于 Python的函数的描述，错误的是
（）","python 支持用名称传递参数，调用的时
候，带名称的参数可以改变在参数序列中的位
置","用def定义了函数之后，就等同于运行函数
的代码","python 支持可选参数传递，定义的时候设
置参数的默认值","python 函数可以没有 return语句，不返回
值",,B,简单,单选题,Python基础
85,"85.以下程序的输出结果是（）  
def calu(x=3,y=2):  
 return x*y  
a = ""abc""  
b = 2 
print(calu(a,b),end = "","")  
a = [3,2,1]  
b = a[:]  
print(b)","abcabc,","abcabc,[3,2,1]","6,","abcabc,6",,B,简单,单选题,Python基础
86,"86.以下程序的输出结果是（）  
def mysoft(ss,flag):   if flag:  
  return (sorted(ss,reverse = True)  
 else: 
  return (sorted(ss,reverse = False)  
ss = [9,4,6,21]  
print(mysort(ss,1))","[4,6,9,21]","[9,4]","[21,9,6,4]","[9,4,6,21]",,C,简单,单选题,Python基础
87,87.以下关于循环结构的描述，错误的是（）,"当try中有循环结构时，循环结构中出错，
会跳出循环并进入 except","for或者while与else搭配使用的时候，
循环非正常结束时会执行 else","break语句执行时，会跳出 break所在的第
一层循环","continue 语句执行时，会跳回 continue 所
在的循环开头",,B,简单,单选题,Python基础
88,"88..使用Python的函数，需要的步骤不包括
（）",函数定义,函数测试,函数调用,函数执行,,B,简单,单选题,Python基础
89,"89.以下程序的输出结果，可能的选项是（）  
import random  
def test():  
 x = random.randint(0,10)  
 y = random.randint(10,20)  
 return([x,y])  
print(test())","(6,20)","[11,13]","[6,20]","(1,11)",,C,简单,单选题,Python基础
90,"90.以下程序的输出结果是（）  
def myf(x = 2.0,y = 4.0):  
 global sp  
 sp += x*y  
 return(sp)  
sp = 100  
print(sp,myf(4,3))",112 100,100 112,100 100,112 112,,B,简单,单选题,Python基础
91,"91.以下关于 Python循环结构的描述中 ,错误的
是（）","break用来结束当前当次语句 ,但不跳出当
前的循环体","遍历循环中的遍历结构可以是字符串、文
件、组合数据类型和 range()函数等","Python 通过for、while等保留字构建循环
结构",continue 只结束本次循环,,A,简单,单选题,Python基础
92,"92.以下构成 Python循环结构的方法中 ,正确的
是（）",while,loop,if,do...for,,A,简单,单选题,Python基础
93,"93. 以下代码绘制的图形是（）  
import turtle as t  
for i in range(1,7):  
 t.fd(50)  
 t.left(60)",正方形,六边形,三角形,五角星,,B,简单,单选题,Python基础
94,"94.以下关于 Python语言的描述中 ,正确的是
（）","条件4<=5<=6是合法的 ,输出False",条件4<=5<=6是不合法的,"条件4<=5<=6是合法的 ,输出True","条件4<=5<=6是不合法的 ,抛出异常",,C,简单,单选题,Python基础
95,"95.以下代码的输出结果是（）  
for i in range(1,6):  
 if i%4==0:  
  continue  
 else: 
  print(i,end="","")","1,2,3","1,2,3,4,","1,2,3,5,","1,2,3,5,6",,C,简单,单选题,Python基础
96,"96.以下的描述中 ,不属于Python语言控制结构
的是（）",分支结构,程序异常,跳转结构,顺序结构,,C,简单,单选题,Python基础
97,"97.以下关于分支结构的描述中 ,错误的是（）",if语句中语句块执行与否依赖于条件判断,"if语句中条件部分可以使用任何能够产生
True和False的语句和函数","二分支结构有一种紧凑形式 ,使用保留字 if
和elif实现","多分支结构用于设置多个判断条件以及对应
的多条执行路径",,C,简单,单选题,Python基础
98,"98.以下代码的输出结果是（）  
while True:  
  guess = eval(input())  
 if guess == 0x452//2:  
  break 
print(guess)",Ox452,break,553,"""Ox452//2""",,C,简单,单选题,Python基础
99,"99.以下代码的输出结果是（）  
for s in ""grandfather"":  
 if s==""d"" or s==""h"":  
  continue  
 print(s,end="""")",grandfather,granfater,grand,father,,B,简单,单选题,Python基础
100,"100.以下关于分支和循环结构的 描述中,错误的
是（）",while循环只能用来实现无限循环,所有的for分支都可以用 while循环改写,保留字break可以终止一个循环,"continue 可以停止后续代码的执行 ,从循环
的开头重新执行",,A,简单,单选题,Python基础
101,101.以下保留字不属于分支或循环逻辑的是（）,elif,do,for,while,,B,简单,单选题,Python基础
102,"102.在Python语言中,使用for...in... 方式形
成的循环不能遍历的类型是（）",列表,复数,字符串,字典,,B,简单,单选题,Python基础
103,"103.以下关于 Python语言中try语句的描述中 ,
错误是()","try用来捕捉执行代码发生的异常 ,处理异
常后能够回到异常处继续执行","当执行try代码块触发异常后 ,会执行
except后面的语句","—个try代码块可以对应多个处理异常的
except代码块","try代码块不触发异常时 ,不会执行 except
后面的语句",,A,简单,单选题,Python基础
104,"104.Python 语言中用来表示代码块所属关系的
语法是（）",花括号,括号,缩进,冒号,,C,简单,单选题,Python基础
105,105.以下描述错误的是（）,Python 语言是一门动态的解释型语言,"当Python脚本程序发生了异常 ,如果不处
理,运行结果不可预测",编程语言中的异常和错误是完全相同的概念,"Python 通过try、except等保留字提供异
常处理功能",,C,简单,单选题,Python基础
106,106.以下保留字不属于分支或循环逻辑的是 (),elif,in,for,while,,B,简单,单选题,Python基础
107,"107.在Python语言中，使用 for..in.. 方式形
成的循环不能遍历的类型是 ()",字典,列表,浮点数,字符串,,C,简单,单选题,Python基础
108,108.以下描述错误的是（）,编程语言中的异常和错误是完全相同的概念,"当Python脚本程序发生了异常，如果不处
理，运行结果不可预测",try-except可以在函数、循环体中使用,"Python 通过try、except等保留字提供异
常处理功能",,A,简单,单选题,Python基础
109,109.以下描述错误的是（）,continue 只结束本次循环,"遍历循环中的遍历结构可以是字符串、文
件、组合数据类型和 range()函数等","Python 通过for、while等保留字构建循环
结构","break用来结束当前当次语句，但不跳出当
前的循环体",,D,简单,单选题,Python基础
110,"110.以下代码绘制的图形是（）  
import turtle as t  
for i in range(1,5):  
 t.fd(50)  
 t.left(90)",五边形,正方形,三角形,五角星,,B,简单,单选题,Python基础
111,"111.以下关于 Python语言的描述中，正确的是
（）",条件11<=22<33 是合法的，输出 True,条件11<=22<33 是合法的，输出 False,条件11<=22<33 是不合法的,条件11<=22<33 是不合法的，抛出异常,,A,简单,单选题,Python基础
112,"112.以下关于 Python分支的描述中，错误的是
（）","Python 分支结构使用保留字 if、elif和
else来实现，每个 if后面必须有 elif或
else",if-else结构是可以嵌套的,"if语句会判断 if后面的逻辑表达式，当表
达式为真时，执行 if后续的语句块","缩进是Python分支语句的语法部分，缩进
不正确会影响分支功能",,A,简单,单选题,Python基础
113,"113.列表变量 ls共包含10个元素， ls索引的
取值范围是（）",-1到-9(含)的整数,0到10(含)的整数,1到10(含)的整数,0到9(含)的整数,,D,简单,单选题,Python基础
114,"114.键盘输入数字 5，以下代码的输出结果是
（） 
n = eval(input("" 请输入一个整数 :"")) 
s = 0 
if n>=5:  
 n-=1 
 s=4 
if n<5: 
 n-=1 
 s=3 
print(s)",3,4,0,2,,A,简单,单选题,Python基础
115,"115.以下关于 Python循环结构的描述中，错误
的是（）","while循环使用 break保留字能够跳出所在
层循环体","while循环可以使用保留字 break和
continue","while循环也叫遍历循环，用来遍历序列类
型中元素，默认提取每个元素并执行一次循环
体","while循环使用 pass语句，则什么事也不
做，只是空的占位语句",,C,简单,单选题,Python基础
116,"116.键盘输入数字 5，以下代码的输出结果是
（）  
try: 
 n = input("" 请输入一个整数： "") 
 def pow2(n):  
  return n*n  
except: 
 print(""程序执行错误 "")",程序没有任何输出,25,出程序执行错误,5,,A,简单,单选题,Python基础
117,117.以下不是函数作用的选项是（）,提高代码执行速度,增强代码可读性,复用相同功能代码,降低编程复杂度,,A,简单,单选题,Python基础
118,"118.关于Python全局变量和局部变量，以下选
项描述错误的是（）","函数内部使用各种全局变量，都要用
global语句声明","程序中的变量包含两类 :全局变量和局部变
量",全局变量在源文件顶层，一般 没有缩进,"不是在程序最开头定义的全局变量，不是全
过程均有效",,A,简单,单选题,Python基础
119,119.关于函数定义，以下形式错误的是 (),"deffoo(a,b)","deffoo(a,b=10)","deffoo(a,*b)","deffoo(*a,b)",,D,简单,单选题,Python基础
120,"120.以下程序的输出结果是（）  
x = 10 
y = 0 
if (x>5) or (x/y>5):  
 print('Right')  
else: 
  print('Wrong')",报错: ZeroDivisionError,Wrong,Right,不报错，但不输出任何结果,,C,简单,单选题,Python基础
121,"121.以下程序的输出结果是（）  
for c in ""Python NCRE"":  
 if c =='N':  
  break 
  print(c)",无输出,Python,Pytho,PythonCRE,,A,简单,单选题,Python基础
122,"122.以下程序的输出结果是（）  
s = 2 
for i in ra nge(1,10):  
 s+=i 
print(s)",45,47,57,55,,B,简单,单选题,Python基础
123,"123.关于Python无限循环，以下选项描述错误
的是（）","无限循环可以与 break、continue 和
else—起使用无限循环",无限循环通过 while保留字构建,"无限循环在判断条件满足时一直执行循环操
作",需要提前确定循环次数,,D,简单,单选题,Python基础
124,"124.以下语句的执行结果是（）  
y1='' 
y2=' ' 
print(y1.isspace(),y2.isspace())",True True,False True,False False,True False,,B,简单,单选题,Python基础
125,125.以下关于控制结构的描述，错误的是（）,Python 的单分支结构里，包含 else语句,"Python 的多分支结构，指的是既包含 else
语句块，也包含 elif语句块","使用range(1,10) 函数，指定语句块的循环
次数是9次","Python 的for循环结构是对遍历结构各元
素进行处理",,A,简单,单选题,Python基础
126,"126. 不属于Python开发用户界面第三方库的是
（）",PyGObject,PyQt,time,PyGTK,,C,简单,单选题,Python基础
127,"127.不属于Python数据分析及可视化处理第三
方库的是（）",seaborn,random,Mayavi2,numpy,,B,简单,单选题,Python基础
128,"128.属于Python用于web开发第三方库的是
（）",pygame,scipy,pdfminer,pyramid,,D,简单,单选题,Python基础
129,"129.在Python语言中,包含矩阵运算的第三方库
是()",numpy,PyQt5,wordcloud,wxPython,,A,简单,单选题,Python基础
130,"130.在Python语言中,能够处理图像的第三方库
是（）",pyinstaller,pyserial,pygame,PIL,,D,简单,单选题,Python基础
131,"131.在Python语言中,属于web开发框架第三方
库的是（）",Mayavi,Flask,PyQt5,time,,B,简单,单选题,Python基础
132,"132.以下不属于 Python数据分析领域第三方库
的是（）",scrapy,numpy,pandas,matplotlib,,A,简单,单选题,Python基础
133,"133.在Python语言中,用来安装第三方库的工具
是（）",install,pip,PyQt5,pyinstaller,,B,简单,单选题,Python基础
134,"134.以下属于 Python机器学习领域第三方库的
是（）",turtle,numpy,pygame,mxnet,,D,简单,单选题,Python基础
135,"135.在Python语言中，能够处理图像的第三方
库是（）",PIL,pyserial,requests,pyinstaller,,A,简单,单选题,Python基础
136,"136.在Python语言中，不属于 web开发框架第
三方库的是（）",Django,Flask,Mayavi,Pyramid,,C,简单,单选题,Python基础
137,"137.在Python语言中，属于网络爬虫领域的第
三方库是（）",PyQt5,numpy,openpyxl,scrapy,,D,简单,单选题,Python基础
138,"138.在Python语言中，用于数据分析的第三方
库是（）",PIL,pandas,Django,flask,,B,简单,单选题,Python基础
139,"139.在Python语言中，不属于机器学习领域第
三方库的是（）",MXNet,Tensorflow,PyTorch,Arcade,,D,简单,单选题,Python基础
140,"140. 以下属于 Python机器学习领域第三方库的
是（）",Scikit -learn,numpy,pygame,pandas,,A,简单,单选题,Python基础
141,"141.下列函数中，不是 Python内置函数的是
（）",abs(),all(),perf_counter(),format(),,C,简单,单选题,Python基础
142,142.安装一个第三方库的命名格式是（）,pip install,pip uninstall,pip download,pip search,,A,简单,单选题,Python基础
143,"143.生成一个 [1,99]之间随机整数的函数是（）","random.randint(1,100)","random.randint(0,99)","random.randint(1,99)","random.uniform(1,99)",,C,简单,单选题,Python基础
144,"144.以下用于计算机视觉领域的 Python第三方
库是（）",OpenCV -Python,Matplotlib,Flask,PyMongo,,A,简单,单选题,Python基础
146,"146.以下不属于人工智能领域的 Python第三方
库是（）",PyOCR,PyTorch,MXNet,Keras,,A,简单,单选题,Python基础
147,147. time 库的time.time() 函数作用是（）,以数字形式返回当前系统时间,以字符串形式返回当前系统时间,以struct_time 形式返回当前系统时间,根据format格式定义返回当前系统时间,,A,简单,单选题,Python基础
148,148.以下属于 turtle库颜色控制函数的是（）,seth(),pensize(),pencolor(),right(),,C,简单,单选题,Python基础
149,"149.下列函数中，不是 Python内置函数的是
（）",close(),sum(),exec(),eval(),,A,简单,单选题,Python基础
150,"150.下载但不安装一个第三方库的命名格式是
（）",pip search,pip uninstall,pip install,pip download,,D,简单,单选题,Python基础
151,151.生成一个 k比特长度随机整数的函数是（）,random.shuffle(k),random.choice(k),random.getrandbits(k),random.sample(k),,C,简单,单选题,Python基础
152,"152.以下用于数据存储领域的 Python第三方库
是（）",Luminoth,Django,NLTK,redis-py,,D,简单,单选题,Python基础
153,"153.以下不属于网络爬虫领域的 Python第三方
库是（）",Scrapy,SnowNLP,Requests,PySpider,,B,简单,单选题,Python基础
154,"154.以下不属于 Web开发框架的 Python第三方
库是（）",Django,Tornado,Pyramid,BeautifulSoup4,,D,简单,单选题,Python基础
